"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","BRIDGE MODE CLIENT CONNECT","","13","0","5","0","0"
"","NAT MODE CLIENT CONNECT","","7","0","5","0","0"
"","NAT MODE CLIENT CONNECTIVITY","","6","0","0","0","0"
"","NAT MODE CLIENT CONNECTIVITY","open 5 GHZ Band","2","0","0","0","0"
"","BRIDGE MODE CLIENT CONNECT","open 5 GHZ Band","2","0","0","0","0"
"","NAT MODE CLIENT CONNECTIVITY","open 2.4 GHZ Band","2","0","0","0","0"
"","BRIDGE MODE CLIENT CONNECT","wpa wpa2 personal mixed 5 GHZ Band","1","0","0","0","0"
"","NAT MODE CLIENT CONNECTIVITY","wpa wpa2 personal mixed 5 GHZ Band","1","0","0","0","0"
"","BRIDGE MODE CLIENT CONNECT","wpa wpa2 personal mixed 2.4 GHZ Band","1","0","0","0","0"
"","NAT MODE CLIENT CONNECTIVITY","wpa wpa2 personal mixed 2.4 GHZ Band","1","0","0","0","0"
"","BRIDGE MODE CLIENT CONNECT","open 2.4 GHZ Band","2","0","0","0","0"
